"Title","CleanedTitle"
"Proceedings of the International Conference on Literacy and Education","proceeding of the international conference on literacy and education"
"Proceedings of The International Conference on Multidisciplinary Science","proceeding of the international conference on multidisciplinary science"
"Proceedings of the International Conference on Nursing and Health Sciences","proceeding of the international conference on nursing and health science"
"Proceedings of The International Conference on Social and Islamic Studies","proceeding of the international conference on social and islamic study"
"PROCEEDING OF JOINT INTERNATIONAL SEMINAR","proceeding of joint international seminar"
"Proceeding of Mulawarman Pharmaceuticals Conferences","proceeding of mulawarman pharmaceutical conference"
"Proceeding of National Conference on Accounting & Finance","proceeding of national conference on accounting finance"
"Proceeding of the Electrical Engineering Computer Science  and Informatics","proceeding of the electrical engineering computer science and informatics"
"Proceeding of The International Conference on Economics and Business","proceeding of the international conference on economics and business"
"Proceeding of the International Conference on Family Business and Entrepreneurship (ICFBF)","proceeding of the international conference on family business and entrepreneurship icfbf"
"Proceeding Of The International Seminar and Conference 2015","proceeding of the international seminar and conference 2015"
"Proceeding of Undergraduate Conference on Literature, Linguistic, and Cultural Studies","proceeding of undergraduate conference on literature linguistic and cultural study"
"Proceeding of World Conference","proceeding of world conference"
"Proceeding Seminar LPPM UMP Tahun 2014","proceeding seminar lppm ump tahun 2014"
"Proceeding - Sari Mutiara Indonesia International Conference on Health","proceeding sari mutiara indonesia international conference on health"
"Proceeding 7th International Seminar on Regional Education","proceeding 7th international seminar on regional education"
"PROCEEDING AL GHAZALI International Conference","proceeding al ghazali international conference"
"Proceeding Applied Business and Engineering Conference","proceeding applied business and engineering conference"
"Proceeding Biology Education Conference","proceeding biology education conference"
"Proceeding Buffalo International Conference","proceeding buffalo international conference"
"Proceeding Fakultas Ekonomi","proceeding fakultas ekonomi"
"PROCEEDING IC-ITECHS 2014","proceeding ic itechs 2014"
"PROCEEDING ICBS","proceeding icbs"
"PROCEEDING ICTESS (Internasional Conference on Technology, Education and Social Sciences)","proceeding ictess internasional conference on technology education and social science"
"Proceeding of Bengkulu International Conference on Health","proceeding of bengkulu international conference on health"
"Proceeding of Conference on Islamic Management, Accounting, and Economics","proceeding of conference on islamic management accounting and economics"
"Proceeding of Conference on Strengthening Islamic Studies in the Digital Era","proceeding of conference on strengthening islamic study in the digital era"
"Proceeding of International Conference 1st SHIELD 2016","proceeding of international conference 1st shield 2016"
"Proceeding of International Conference Health, Science And Technology (ICOHETECH)","proceeding of international conference health science and technology icohetech"
"Proceeding of International Conference of Islamic Education","proceeding of international conference of islamic education"
"Proceeding of International Conference on Art, Language, and Culture","proceeding of international conference on art language and culture"
"Proceeding of International Conference on Art, Media, and Culture (ICAMAC)","proceeding of international conference on art medium and culture icamac"
"PROCEEDING OF INTERNATIONAL CONFERENCE ON BUSINESS MANAGEMENT AND ACCOUNTING","proceeding of international conference on business management and accounting"
"Proceeding Of International Conference On Education, Society And Humanity","proceeding of international conference on education society and humanity"
"ProBank: Jurnal Ekonomi dan Perbankan","probank ekonomi perbankan"
"ProBisnis : Jurnal Manajemen","probisnis manajemen"
"Problematika Hukum","problematika hukum"
"Probono and Community Service Journal","probono and community service journal"
"Procedia : Studi Kasus dan Intervensi Psikologi","procedia kasus intervensi psikologi"
"Procedia of Social Sciences and Humanities","procedia of social science and humanity"
"Procediamath","procediamath"
"Proceeding","proceeding"
"Proceeding","proceeding"
"PROCEEDING","proceeding"
"Proceeding International Health Conference","proceeding international health conference"
"Proceeding International Pelita Bangsa","proceeding international pelita bangsa"
"Proceeding INTERNATIONAL SEMINAR IMPROVING TROPICAL ANIMAL PRODUCTION FOR FOOD SECURITY","proceeding international seminar improving tropical animal production for food security"
"Proceeding International Seminar of Islamic Studies","proceeding international seminar of islamic study"
"Proceeding International Seminar on Social Work Update","proceeding international seminar on social work update"
"Proceeding ISETH (International Summit on Science, Technology, and Humanity)","proceeding iseth international summit on science technology and humanity"
"Proceeding Mercu Buana Conference on Industrial Engineering","proceeding mercu buana conference on industrial engineering"
"Proceeding Muhammadiyah International Public Health and Medicine Conference","proceeding muhammadiyah international public health and medicine conference"
"Proceeding National Conference Business, Management, and Accounting (NCBMA)","proceeding national conference business management and accounting ncbma"
"Proceeding National Conference of Christian Education and Theology","proceeding national conference of christian education and theology"
"Proceeding Seminar Nasional IPA","proceeding seminar nasional ipa"
"Proceeding SENDI_U","proceeding sendi_u"
"Proceeding Simposium Nasional Kelautan dan Perikanan","proceeding simposium nasional kelautan perikanan"
"PROCEEDING STIMA","proceeding stima"
"PROCEEDINGS","proceeding"
"Proceedings ACES (Annual Civil Engineering Seminar)","proceeding ace annual civil engineering seminar"
"Proceedings Book of International Conference and Exhibition on The Indonesian Medical Education and Research Institute","proceeding book of international conference and exhibition on the indonesian medical education and research institute"
"Proceedings Education and Language International Conference","proceeding education and language international conference"
"Proceedings International Conference of Graduate School on Sustainability","proceeding international conference of graduate school on sustainability"
"Proceedings Konferensi Nasional Sistem dan Informatika (KNS&I)","proceeding konferensi nasional sistem informatika kns i"
"PRODU-Prokurasi Edukasi (Jurnal Manajemen Pendidikan Islam)","produ prokurasi edukasi manajemen pendidikan islam"
"Product Design","product design"
"PRODUCTUM : Jurnal Desain Produk (Pengetahuan dan Perancangan Produk)","productum desain produk pengetahuan perancangan produk"
"Produktif : Jurnal Ilmiah Pendidikan Teknologi Informasi","produktif ilmiah pendidikan teknologi informasi"
"PRODUKTIF: Jurnal Kepegawaian dan Organisasi","produktif kepegawaian organisasi"
"PROFESI (Profesional Islam): Media Publikasi Penelitian","profesi profesional islam medium publikasi"
"PRofesi Humas","profesi humas"
"Profesi Pendidikan Dasar","profesi pendidikan dasar"
"Profesi Pendidikan Dasar","profesi pendidikan dasar"
"Profesi | Jurnal Ilmu Pendidikan dan Keguruan","profesi pendidikan keguruan"
"Proceeding Information Technology","proceeding information technology"
"PROCEEDING INTERNASIONAL SEMINAR","proceeding internasional seminar"
"Proceeding International Applied Business and Engineering Conference","proceeding international applied business and engineering conference"
"PROCEEDING INTERNATIONAL BUSINESS AND ECONOMICS CONFERENCE (IBEC)","proceeding international business and economics conference ibec"
"Proceeding International Conference Of Innovation Science, Technology, Education, Children And Health","proceeding international conference of innovation science technology education child and health"
"Proceeding International Conference on Global Resource Conservation","proceeding international conference on global resource conservation"
"Proceeding International Conference on Information Technology and Business","proceeding international conference on information technology and business"
"Proceeding International Conference on Islamic Economics Community Services","proceeding international conference on islamic economics community service"
"Proceeding International Conference on Malay Identity","proceeding international conference on malay identity"
"Proceeding International Conference on Mathematics and Learning Research","proceeding international conference on mathematics and learning research"
"Profitabilitas","profitabilitas"
"ProGCouns: Journal of Professionals in Guidance and Counseling","progcouns journal of professional in guidance and counseling"
"Program Kreativitas Mahasiswa - Gagasan Tertulis","program kreativitas mahasiswa gagasan tertulis"
"Program Kreativitas Mahasiswa - Karsa Cipta","program kreativitas mahasiswa karsa cipta"
"Program Kreativitas Mahasiswa - Kewirausahaan","program kreativitas mahasiswa kewirausahaan"
"Program Kreativitas Mahasiswa - Penelitian","program kreativitas mahasiswa"
"Program Kreativitas Mahasiswa - Pengabdian Kepada Masyarakat","program kreativitas mahasiswa"
"Program Kreativitas Mahasiswa - Teknologi","program kreativitas mahasiswa teknologi"
"PROGRES PENDIDIKAN","progres pendidikan"
"PROGRESIF","progresif"
"PROFICIO: Jurnal Pengabdian Masyarakat","proficio"
"Profilm: Jurnal Ilmiah Ilmu Perfilman & Televisi","profilm ilmiah perfilman televisi"
"Profisiensi : Jurnal Program Studi Teknik Industri","profisiensi program teknik industri"
"PROFIT","profit"
"PROFIT : Jurnal Administrasi Bisnis","profit administrasi bisnis"
"Profit : Jurnal Inovasi Ekonomi dan Bisnis","profit inovasi ekonomi bisnis"
"Profit : Jurnal Kajian Ekonomi dan Perbankan Syariah","profit kajian ekonomi perbankan syariah"
"PROFIT : Kajian Pendidikan Ekonomi dan Ilmu Ekonomi","profit kajian pendidikan ekonomi ekonomi"
"Profit: Jurnal Manajemen, Bisnis dan Akuntansi","profit manajemen bisnis akuntansi"
"Profita : Komunikasi Ilmiah dan Perpajakan","profita komunikasi ilmiah perpajakan"
"PROFESI || JURNAL KESEHATAN PROFESIONAL ISLAMI","profesi kesehatan profesional islami"
"PROFESIENSI","profesiensi"
"Profesional","profesional"
"PROFESOR : Professional Education Studies and Operations Research","profesor professional education study and operation research"
"Professional : Jurnal Komunikasi dan Administrasi Publik","professional komunikasi administrasi publik"
"PROFESSIONAL HEALTH JOURNAL","professional health journal"
"Profetik Jurnal Ekonomi Syariah","profetik ekonomi syariah"
"PROFETIK: Jurnal Mahasiswa Pendidikan Agama Islam","profetik mahasiswa pendidikan agama islam"
"Profetik: Jurnal Pengabdian Masyarakat","profetik"
"Profetika","profetika"
"Progressive Physics Journal","progressive physic journal"
"Prohealth Journal","prohealth journal"
"PROJECT (Professional Journal of English Education)","project professional journal of english education"
"Prokons: Jurnal Teknik Sipil","prokons teknik sipil"
"Proksima","proksima"
"Prologia","prologia"
"Prologue: Journal on Language and Literature","prologue journal on language and literature"
"PRoMEDIA","promedia"
"PROMINE","promine"
"Prominent : Journal of English Studies","prominent journal of english study"
"PROSIDING","prosiding"
"Prosiding","prosiding"
"PROSIDING","prosiding"
"Prosiding","prosiding"
"Prosiding (SIAR) Seminar Ilmiah Arsitektur","prosiding siar seminar ilmiah arsitektur"
"Prosiding 2nd Seminar Nasional IPTEK Terapan (SENIT) 2017","prosiding 2nd seminar nasional iptek terapan senit 2017"
"PROSIDING : Seminar Nasional Fisika dan Pendidikan Fisika","prosiding seminar nasional fisika pendidikan fisika"
"Prosiding Amal Insani Foundation","prosiding amal insani foundation"
"Prosiding Balai Arkeologi Jawa Barat","prosiding balai arkeologi jawa barat"
"Prosiding Conference on Research and Community Services","prosiding conference on research and community service"
"PROSIDING CSGTEIS 2013","prosiding csgteis 2013"
"Prosiding Dedikasi: Pengabdian Mahasiswa Kepada Masyarakat","prosiding dedikasi mahasiswa"
"Prosiding Forum Studi Transportasi Antar Perguruan Tinggi","prosiding forum transportasi antar perguruan tinggi"
"Prosiding Ilmu Agama dan Pendidikan Agama Buddha","prosiding agama pendidikan agama buddha"
"Prosiding Ilmu Pendidikan","prosiding pendidikan"
"Prosiding Ilmu Pendidikan dan Keguruan","prosiding pendidikan keguruan"
"Prosiding International Conference on Sustainable Innovation (ICoSI)","prosiding international conference on sustainable innovation icosi"
"Prosiding KOMMIT","prosiding kommit"
"PROSIDING KOMUNIKASI","prosiding komunikasi"
"Prosiding Konferensi Ilmiah Dasar","prosiding konferensi ilmiah dasar"
"Prosiding Seminar Nasional Pengabdian Kepada Masyarakat","prosiding seminar nasional"
"Prosiding Seminar Nasional Pengabdian Kepada Masyarakat","prosiding seminar nasional"
"Prosiding Seminar Nasional Pengabdian kepada Masyarakat (SINAPMAS)","prosiding seminar nasional sinapmas"
"Prosiding Seminar Nasional Pengabdian Kepada Masyarakat: Peduli Masyarakat","prosiding seminar nasional peduli"
"Prosiding Seminar Nasional Pengabdian Masyarakat","prosiding seminar nasional"
"Prosiding Seminar Nasional PPG Universitas Mulawarman","prosiding seminar nasional ppg universitas mulawarman"
"PROSIDING SEMINAR NASIONAL PROGRAM PASCASARJANA","prosiding seminar nasional program pascasarjana"
"Prosiding Seminar Nasional Program Pengabdian Masyarakat","prosiding seminar nasional program"
"Prosiding Seminar Nasional Rekayasa dan Teknologi (TAU SNAR- TEK)","prosiding seminar nasional rekayasa teknologi tau snar tek"
"Prosiding Seminar Nasional Rekayasa Teknologi Industri dan Informasi ReTII","prosiding seminar nasional rekayasa teknologi industri informasi retii"
"Prominentia Medical Journal","prominentia medical journal"
"Promis","promis"
"Promotif: Jurnal Kesehatan Masyarakat","promotif kesehatan"
"PROMOTIF: Jurnal Pengabdian Kepada Masyarakat","promotif"
"Promotion and Prevention in Mental Health","promotion and prevention in mental health"
"PROMOTOR","promotor"
"Promotor: Jurnal Mahasiswa Kesehatan Masyarakat","promotor mahasiswa kesehatan"
"Promotor: Jurnal Mahasiswa Kesehatan Masyarakat","promotor mahasiswa kesehatan"
"PROMUSIKA: Jurnal Pengkajian, Penyajian, dan Penciptaan Musik","promusika pengkajian penyajian penciptaan musik"
"ProNers","proners"
"Prosiding Seminar Nasional Riset Kuantitatif Terapan 2017","prosiding seminar nasional riset kuantitatif terapan 2017"
"Prosiding Seminar Nasional Sains Dan Teknologi Fakultas Teknik","prosiding seminar nasional sains teknologi fakultas teknik"
"Prosiding Seminar Nasional Sains dan Teknologi Terapan","prosiding seminar nasional sains teknologi terapan"
"Prosiding Seminar Nasional Sains Teknologi dan Inovasi Indonesia (Senastindo)","prosiding seminar nasional sains teknologi inovasi indonesia senastindo"
"Prosiding Seminar Nasional Sasindo","prosiding seminar nasional sasindo"
"Prosiding Seminar Nasional Sastra, Bahasa, dan Seni (Sesanti)","prosiding seminar nasional sastra bahasa seni sesanti"
"Prosiding Seminar Nasional Sisfotek (Sistem Informasi dan Teknologi Informasi)","prosiding seminar nasional sisfotek sistem informasi teknologi informasi"
"Prosiding Seminar Nasional Teknik Elektro, Sistem Informasi, dan Teknik Informatika (SNESTIK)","prosiding seminar nasional teknik elektro sistem informasi teknik informatika snestik"
"Prosiding Seminar Nasional Teknik Industri","prosiding seminar nasional teknik industri"
"Prosiding Seminar Nasional Teknik Lingkungan Kebumian SATUBUMI","prosiding seminar nasional teknik lingkungan kebumian satubumi"
"Prosiding Seminar Nasional Ekonomi dan Bisnis Universitas Ma Chung","prosiding seminar nasional ekonomi bisnis universitas ma chung"
"Prosiding Seminar Nasional Fakultas Tarbiyah dan Ilmu Keguruan UIAD","prosiding seminar nasional fakultas tarbiyah keguruan uiad"
"PROSIDING SEMINAR NASIONAL FISIKA (E-JOURNAL)","prosiding seminar nasional fisika e journal"
"PROSIDING Seminar Nasional FKIP Universitas Muslim Maros","prosiding seminar nasional fkip universitas muslim maros"
"Prosiding Seminar Nasional Hasil Penelitian dan Pengabdian Kepada Masyarakat","prosiding seminar nasional hasil"
"Prosiding Seminar Nasional Hasil-hasil Penelitian dan Pengabdian Pada Masyarakat","prosiding seminar nasional hasil hasil"
"Prosiding Seminar Nasional Humaniora","prosiding seminar nasional humaniora"
"Prosiding Seminar Nasional Ilmu Manajemen, Ekonomi, Keuangan dan Bisnis","prosiding seminar nasional manajemen ekonomi keuangan bisnis"
"Prosiding Seminar Nasional Ilmu Pendidikan","prosiding seminar nasional pendidikan"
"Prosiding Seminar Nasional Ilmu Teknik Dan Aplikasi Industri Fakultas Teknik Universitas Lampung","prosiding seminar nasional teknik aplikasi industri fakultas teknik universitas lampung"
"Prosiding Seminar Kesehatan Masyarakat","prosiding seminar kesehatan"
"Prosiding Seminar Kesehatan Nasional","prosiding seminar kesehatan nasional"
"Prosiding Seminar Kesehatan Nasional Sexophone","prosiding seminar kesehatan nasional sexophone"
"PROSIDING SEMINAR KIMIA","prosiding seminar kimia"
"Prosiding Seminar Matematika dan Pendidikan Matematik","prosiding seminar matematika pendidikan matematik"
"PROSIDING SEMINAR NASIONAL","prosiding seminar nasional"
"prosiding seminar nasional","prosiding seminar nasional"
"PROSIDING SEMINAR NASIONAL","prosiding seminar nasional"
"Prosiding Seminar Nasional","prosiding seminar nasional"
"PROSIDING SEMINAR NASIONAL AGRIBISNIS","prosiding seminar nasional agribisnis"
"Prosiding Sesiomadika","prosiding sesiomadika"
"Prosiding SI MaNIs (Seminar Nasional Integrasi Matematika dan Nilai-Nilai Islami)","prosiding si manis seminar nasional integrasi matematika nilai nilai islami"
"Prosiding SIMKESNAS","prosiding simkesnas"
"Prosiding Simposium Nasional Manajemen dan Bisnis","prosiding simposium nasional manajemen bisnis"
"Prosiding Simposium Nasional Multidisiplin (SinaMu)","prosiding simposium nasional multidisiplin sinamu"
"Prosiding Simposium Nasional Rekayasa Aplikasi Perancangan dan Industri","prosiding simposium nasional rekayasa aplikasi perancangan industri"
"Prosiding SNAST","prosiding snast"
"Prosiding Snastikom","prosiding snastikom"
"Prosiding SNATIF","prosiding snatif"
"Prosiding SNATIKA Vol 01 (2011)","prosiding snatika vol 01 2011"
"Prosiding Seminar Pendidikan Ekonomi dan Bisnis","prosiding seminar pendidikan ekonomi bisnis"
"Prosiding Seminar Riset Mahasiswa","prosiding seminar riset mahasiswa"
"Prosiding Seminar Teknologi Kebumian dan Kelautan (SEMITAN","prosiding seminar teknologi kebumian kelautan semitan"
"Prosiding Seminas Competitive Advantage","prosiding seminas competitive advantage"
"Prosiding SEMNAS INOTEK (Seminar Nasional Inovasi Teknologi)","prosiding semnas inotek seminar nasional inovasi teknologi"
"Prosiding Semnastek","prosiding semnastek"
"Prosiding SENAMA PGRI","prosiding senama pgri"
"PROSIDING SENATEK FAKULTAS TEKNIK UMP","prosiding senatek fakultas teknik ump"
"Prosiding SENTIKUIN (Seminar Nasional Teknologi Industri, Lingkungan dan Infrastruktur)","prosiding sentikuin seminar nasional teknologi industri lingkungan infrastruktur"
"Prosiding Seri Seminar Nasional","prosiding seri seminar nasional"
"PROPAGANDA","propaganda"
"Propeller","propeller"
"Prophetic : Professional, Empathy, Islamic Counseling Journal","prophetic professional empathy islamic counseling journal"
"Prophetic Guidance and Counseling Journal","prophetic guidance and counseling journal"
"Prophetic Law Review","prophetic law review"
"Prophetica","prophetica"
"PROPORSI : Jurnal Desain, Multimedia dan Industri Kreatif","proporsi desain multimedia industri kreatif"
"PROPUBLIK","propublik"
"PROSEDING SEMINAR UNSA","proseding seminar unsa"
"Prosidia Widya Saintek","prosidia widya saintek"
"Prosiding Seminar Nasional Pemberdayaan Masyarakat (SENDAMAS)","prosiding seminar nasional pemberdayaan sendamas"
"Prosiding Seminar Nasional Pendidikan Akuntansi dan Keuangan","prosiding seminar nasional pendidikan akuntansi keuangan"
"Prosiding Seminar Nasional Pendidikan dan Agama","prosiding seminar nasional pendidikan agama"
"Prosiding Seminar Nasional Pendidikan Fisika FITK UNSIQ","prosiding seminar nasional pendidikan fisika fitk unsiq"
"Prosiding Seminar Nasional Pendidikan Guru Sekolah Dasar Universitas Kuningan","prosiding seminar nasional pendidikan guru sekolah dasar universitas kuningan"
"Prosiding Seminar Nasional Pendidikan Kepelatihan Olahraga","prosiding seminar nasional pendidikan kepelatihan olahraga"
"Prosiding Seminar Nasional Pendidikan Matematika Universitas Pattimura","prosiding seminar nasional pendidikan matematika universitas pattimura"
"Prosiding Seminar Nasional Pendidikan Matematika, Universitas Mulawarman","prosiding seminar nasional pendidikan matematika universitas mulawarman"
"Prosiding Seminar Nasional Pendidikan, Bahasa, Sastra, Seni, dan Budaya","prosiding seminar nasional pendidikan bahasa sastra seni budaya"
"PROSIDING SEMINAR NASIONAL PENELITIAN DAN PENGABDIAN KEPADA MASYARAKAT (SNPPM) UNIVERSITAS MUHAMMADIYAH METRO","prosiding seminar nasional snppm universitas muhammadiyah metro"
"Progresif : Media Publikasi Ilmiah","progresif medium publikasi ilmiah"
"PROGRESIF: Jurnal Hukum","progresif hukum"
"Progresif: Jurnal Ilmiah Komputer","progresif ilmiah komputer"
"Progresiva : Jurnal Pemikiran dan Pendidikan Islam","progresiva pemikiran pendidikan islam"
"Progresivisme: Jurnal Pengembangan Pendidikan dan Pembelajaran","progresivisme pengembangan pendidikan pembelajaran"
"Progress in Social Development","progress in social development"
"Progress: Jurnal Pendidikan, Akuntansi dan Keuangan","progress pendidikan akuntansi keuangan"
"Progressa: Journal of Islamic Religious Instruction","progressa journal of islamic religious instruction"
"Progressive Law Review","progressive law review"
"Progressive of Cognitive and Ability","progressive of cognitive and ability"
"Prosiding Seminar Nasional Teknik Mesin","prosiding seminar nasional teknik mesin"
"Prosiding Seminar Nasional Teknik Sipil UMS","prosiding seminar nasional teknik sipil ums"
"Prosiding Seminar Nasional Teknik UISU (SEMNASTEK)","prosiding seminar nasional teknik uisu semnastek"
"Prosiding Seminar Nasional Teknoka","prosiding seminar nasional teknoka"
"Prosiding Seminar Nasional Teknologi Industri Berkelanjutan","prosiding seminar nasional teknologi industri berkelanjutan"
"Prosiding Seminar Nasional Teknologi Informasi dan Bisnis","prosiding seminar nasional teknologi informasi bisnis"
"Prosiding Seminar Nasional Unimus","prosiding seminar nasional unimus"
"Prosiding Seminar Nasional Universitas Ma Chung","prosiding seminar nasional universitas ma chung"
"Prosiding Seminar Nasional Universitas Serambi Mekkah","prosiding seminar nasional universitas serambi mekkah"
"Prosiding Seminar Nasional: Pertemuan Ilmiah Tahunan Politeknik Kesehatan Karya Husada Yogyakarta","prosiding seminar nasional pertemuan ilmiah tahunan politeknik kesehatan karya husada yogyakarta"
"Prosiding Seminar Nasional Akuntansi dan Manajemen (SENAMA)","prosiding seminar nasional akuntansi manajemen senama"
"Prosiding Seminar Nasional Biologi","prosiding seminar nasional biologi"
"Prosiding Seminar Nasional Biologi, Teknologi dan Kependidikan (Biotik)","prosiding seminar nasional biologi teknologi kependidikan biotik"
"PROSIDING SEMINAR NASIONAL CENDEKIAWAN","prosiding seminar nasional cendekiawan"
"Prosiding Seminar Nasional COSMIC Kedokteran","prosiding seminar nasional cosmic kedokteran"
"Prosiding Seminar Nasional dan Call For Paper Kebidanan Universitas Ngudi Waluyo","prosiding seminar nasional call for paper kebidanan universitas ngudi waluyo"
"Prosiding Seminar Nasional dan Call Paper STIE Widya Wiwaha","prosiding seminar nasional call paper stie widya wiwaha"
"PROSIDING SEMINAR NASIONAL DAN INTERNASIONAL  HIMPUNAN SARJANA-KESUSASTRAAN INDONESIA","prosiding seminar nasional internasional himpunan sarjana kesusastraan indonesia"
"Prosiding Seminar Nasional Darmajaya","prosiding seminar nasional darmajaya"
"Prosiding Seminar Nasional Dies Natalis Universitas Negeri Makassar","prosiding seminar nasional dy natalis universitas negeri makassar"
"Prosiding Seminar Nasional Matematika dan Pendidikan Matematika","prosiding seminar nasional matematika pendidikan matematika"
"Prosiding Seminar Nasional Mini Riset Mahasiswa","prosiding seminar nasional mini riset mahasiswa"
"Prosiding Seminar Nasional MIPA","prosiding seminar nasional mipa"
"Prosiding Seminar Nasional MIPA Kolaborasi","prosiding seminar nasional mipa kolaborasi"
"Prosiding Seminar Nasional Multidisiplin","prosiding seminar nasional multidisiplin"
"Prosiding Seminar Nasional Multidisiplin Ilmu","prosiding seminar nasional multidisiplin"
"Prosiding Seminar Nasional Official Statistics","prosiding seminar nasional official statistic"
"Prosiding Seminar Nasional Orientasi Pendidik dan Peneliti Sains Indonesia","prosiding seminar nasional orientasi pendidik peneliti sains indonesia"
"Prosiding Seminar Nasional Pakar","prosiding seminar nasional pakar"
"Prosiding Seminar Nasional Pascasarjana","prosiding seminar nasional pascasarjana"
"Prosiding Konferensi Nasional Penelitian Matematika dan Pembelajarannya","prosiding konferensi nasional matematika pembelajarannya"
"Prosiding Konferensi Nasional PKM-CSR","prosiding konferensi nasional pkm csr"
"Prosiding Konfererensi Nasional Bahasa Arab","prosiding konfererensi nasional bahasa arab"
"PROSIDING KONVENSI NASIONAL XIX ABKIN","prosiding konvensi nasional xix abkin"
"Prosiding KPSDA","prosiding kpsda"
"Prosiding Magister Ilmu Komunikasi","prosiding magister komunikasi"
"Prosiding National Conference for Community Service Project","prosiding national conference for community service project"
"Prosiding Pendidikan Sains","prosiding pendidikan sains"
"Prosiding Penelitian dan Pengabdian kepada Masyarakat","prosiding"
"Prosiding Penelitian FISIP Unia","prosiding fisip unia"
"Prosperity: Journal of Society and Empowerment","prosperity journal of society and empowerment"
"Protasis: Jurnal Bahasa, Sastra, Budaya, dan Pengajarannya","protasis bahasa sastra budaya pengajarannya"
"Protech Biosystems Journal","protech biosystems journal"
"Protection: Journal Of Land And Environmental Law","protection journal of land and environmental law"
"Protein: Jurnal Ilmu Keperawatan dan Kebidanan","protein keperawatan kebidanan"
"PROtek : Jurnal Ilmiah Teknik Elektro","protek ilmiah teknik elektro"
"Protektorat","protektorat"
"Protobiont: Jurnal Elektronik Biologi","protobiont elektronik biologi"
"PROTON","proton"
"ProTVF","protvf"
"Prosiding Seminar Nasional INDOCOMPAC","prosiding seminar nasional indocompac"
"Prosiding Seminar Nasional Inovasi Dalam Pengembangan SmartCity","prosiding seminar nasional inovasi dalam pengembangan smartcity"
"Prosiding Seminar Nasional Inovasi Teknologi Terapan","prosiding seminar nasional inovasi teknologi terapan"
"Prosiding Seminar Nasional IPTEK Terapan (SENIT) 2016 Pengembangan Sumber Daya Lokal Berbasis IPTEK","prosiding seminar nasional iptek terapan senit 2016 pengembangan sumber daya lokal berbasis iptek"
"Prosiding Seminar Nasional Jurusan PGSD FIP UNP Tahun 2015","prosiding seminar nasional jurusan pgsd fip unp tahun 2015"
"Prosiding Seminar Nasional Kemaritiman dan Sumber Daya Pulau-Pulau Kecil","prosiding seminar nasional kemaritiman sumber daya pulau pulau kecil"
"Prosiding Seminar Nasional Keperawatan Universitas Muhammadiyah Surakarta","prosiding seminar nasional keperawatan universitas muhammadiyah surakarta"
"Prosiding Seminar Nasional Kusuma","prosiding seminar nasional kusuma"
"PROSIDING SEMINAR NASIONAL LEMBAGA PENELITIAN DAN PENDIDIKAN (LPP) MANDALA","prosiding seminar nasional lembaga pendidikan lpp mandala"
"Prosiding Seminar Nasional Manajemen dan Ekonomi","prosiding seminar nasional manajemen ekonomi"
"Prosiding Pengabdian FISIP Unila","prosiding fisip unila"
"Prosiding PESAT","prosiding pesat"
"Prosiding SAKTI (Seminar Ilmu Komputer dan Teknologi Informasi)","prosiding sakti seminar komputer teknologi informasi"
"Prosiding Semhavok","prosiding semhavok"
"Prosiding Seminar Biologi","prosiding seminar biologi"
"Prosiding Seminar Biologi","prosiding seminar biologi"
"Prosiding Seminar Hasil Penelitian dan Pengabdian Kepada Masyarakat","prosiding seminar hasil"
"Prosiding Seminar Hasil-hasil Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung 2011","prosiding seminar hasil hasil universitas lampung 2011"
"Prosiding Seminar Hukum Aktual Fakultas Hukum Universitas Islam Indonesia","prosiding seminar hukum aktual fakultas hukum universitas islam indonesia"
"Prosiding Seminar Informasi Kesehatan Nasional","prosiding seminar informasi kesehatan nasional"
"Prosiding SNFA (Seminar Nasional Fisika dan Aplikasinya)","prosiding snfa seminar nasional fisika aplikasinya"
"Prosiding SNITP (Seminar Nasional Inovasi Teknologi Penerbangan)","prosiding snitp seminar nasional inovasi teknologi penerbangan"
"Prosiding SNPBS (Seminar Nasional Pendidikan Biologi dan Saintek)","prosiding snpbs seminar nasional pendidikan biologi saintek"
"Prosiding SNPF (Seminar Nasional Pendidikan Fisika)","prosiding snpf seminar nasional pendidikan fisika"
"Prosiding SNTTM","prosiding snttm"
"Prosiding Teknologi Pendidikan","prosiding teknologi pendidikan"
"Prosiding Temu Ilmiah Nasional Guru","prosiding temu ilmiah nasional guru"
"Prosiding Temu Ilmiah Nasional X Ikatan Psikologi Perkembangan Indonesia","prosiding temu ilmiah nasional x ikatan psikologi perkembangan indonesia"
"Prosiding Temu Profesi Tahunan PERHAPI","prosiding temu profesi tahunan perhapi"
"Prosiding Universitas PGRI Palembang","prosiding universitas pgri palembang"
"Prosiding University Research Colloquium","prosiding university research colloquium"
"Prosiding Working Papers Series In Management","prosiding working paper series in management"
"Prosiding Workshop dan Seminar Nasional Farmasi (WSNF)","prosiding workshop seminar nasional farmasi wsnf"
"PROSIDING: SENI, TEKNOLOGI, DAN MASYARAKAT","prosiding seni teknologi"
"PROSIDING: SLAMET RIYADI CONFERENCE ON PUBLIC ADMINISTRATION (SRIPA)","prosiding slamet riyadi conference on public administration sripa"
"PROSISKO : Jurnal Pengembangan Riset dan observasi Rekayasa Sistem Komputer","prosisko pengembangan riset observasi rekayasa sistem komputer"
"Prosodi: Jurnal Ilmu Bahasa dan Sastra","prosodi bahasa sastra"
"Prospect: Jurnal Pemberdayaan Masyarakat","prospect pemberdayaan"
